BILLABLE_ID,INVOICE_DATE,ACCOUNT_ID,MOBILE_NO,BILL_START_DATE,BILL_END_DATE,COMPANY_NAME,INVOICE_NO,CITY,MONTHLY_RENTAL,USAGE,ONE_TIME_CHARGES,DISCOUNT,TAX,TOTAL_OUTSTANDING
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119883,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119903,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000155618,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000155607,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000155622,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000155625,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119897,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119904,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119881,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119892,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119891,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000155613,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000155604,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000155626,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000119894,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172164,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172138,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
1-3411718727870,03-JUN-2022,1-3411718727870,5754000172161,01-May-2022,31-May-2022,"WENALYTICS IOT SOLUTIONS",BM2336I001646253,Rangareddi,35.00,0.00,0.00,0.00,6.30,35.00
