Sno,Meter,Date/Hours,"Running Hours"
1,Chiller_4,2020-07-10,"0 Hours 0 Min"
2,Chiller_4,2020-07-11,"18 Hours 0 Min"
3,Chiller_4,2020-07-12,"21 Hours 35 Min"
