Sno,Meter,Date/Hours,"Running Hours"
1,Chiller_4,2020-07-15,"20 Hours 30 Min"
2,Chiller_4,2020-07-16,"21 Hours 34 Min"
3,Chiller_4,2020-07-17,"21 Hours 36 Min"
4,Chiller_4,2020-07-18,"12 Hours 17 Min"
5,Chiller_4,2020-07-19,"21 Hours 9 Min"
6,Chiller_4,2020-07-20,"21 Hours 39 Min"
