Sno,Meter,Date/Hours,"Running Hours"
1,Chiller_4,"00:00:00 To 01:00:00","0 Hours 0 Min"
2,Chiller_4,"01:00:00 To 02:00:00","0 Hours 0 Min"
3,Chiller_4,"02:00:00 To 03:00:00","0 Hours 0 Min"
4,Chiller_4,"03:00:00 To 04:00:00","0 Hours 0 Min"
5,Chiller_4,"04:00:00 To 05:00:00","0 Hours 0 Min"
6,Chiller_4,"05:00:00 To 06:00:00","0 Hours 0 Min"
7,Chiller_4,"06:00:00 To 07:00:00","0 Hours 0 Min"
8,Chiller_4,"07:00:00 To 08:00:00","0 Hours 0 Min"
9,Chiller_4,"08:00:00 To 09:00:00","0 Hours 0 Min"
10,Chiller_4,"09:00:00 To 010:00:00","0 Hours 0 Min"
11,Chiller_4,"10:00:00 To 11:00:00","0 Hours 0 Min"
12,Chiller_4,"11:00:00 To 12:00:00","0 Hours 0 Min"
13,Chiller_4,"12:00:00 To 13:00:00","0 Hours 0 Min"
14,Chiller_4,"13:00:00 To 14:00:00","0 Hours 0 Min"
15,Chiller_4,"14:00:00 To 15:00:00","0 Hours 0 Min"
16,Chiller_4,"15:00:00 To 16:00:00","0 Hours 0 Min"
17,Chiller_4,"16:00:00 To 17:00:00","0 Hours 0 Min"
18,Chiller_4,"17:00:00 To 18:00:00","0 Hours 0 Min"
19,Chiller_4,"18:00:00 To 19:00:00","0 Hours 0 Min"
20,Chiller_4,"19:00:00 To 20:00:00","0 Hours 0 Min"
21,Chiller_4,"20:00:00 To 21:00:00","0 Hours 0 Min"
22,Chiller_4,"21:00:00 To 22:00:00","0 Hours 0 Min"
23,Chiller_4,"22:00:00 To 23:00:00","0 Hours 0 Min"
24,Chiller_4,"23:00:00 To 24:00:00","0 Hours 0 Min"
