Sno,Meter,Date/Hours,"Running Hours"
1,CT_Fan,2020-07-01,"0 Hours 0 Min"
2,CT_Fan,2020-07-02,"0 Hours 0 Min"
3,CT_Fan,2020-07-03,"0 Hours 0 Min"
